Version,Segment,Sysytem Source ,Source Object Name (Curated),Source Field Name,Source Field Data Type,Transformation Rule,Target System Name ,Target Object Name ,Target Field Name,Target Field Data Type,Target Field Description,Default Value in Target,Mandatory,Comment
v1.1,VEHICLE,ACTURIS-SDW,mo_sdw_part_answer_bridge,mo_prt_ans_brd_answer_text,,same as registration number  - registration number is unique,LSM,dim_vehicle,business_key,varchar(32766),Technical column which has source business keys and it is unique for all the records.,,,
v1.1,VEHICLE,ACTURIS-SDW,mo_sdw_part_answer_bridge,mo_prt_ans_brd_answer_text,,same as registration number  - registration number is unique,LSM,dim_vehicle,adaptation_key,varchar(100),This key is used to get the adaptation information against the specified vehcile from dim_adaptation.,,,
Version,Segment,Sysytem Source ,Source Object Name (Curated),Source Field Name,Source Field Data Type,Transformation Rule,Target System Name ,Target Object Name ,Target Field Name,Target Field Data Type,Target Field Description,Default Value in Target,Mandatory,Comment
v1.2,VEHICLE,ACTURIS-SDW,mo_sdw_part_answer_bridge,mo_prt_ans_brd_answer_text,,same as registration number  - registration number is unique,LSM,dim_adaptation,adaptation_key,varchar(300),"Primary Key for dim_adaptation, this column contains unique autogenerated values.",,,
v1.1,VEHICLE,ACTURIS-SDW,mo_sdw_part_answer_bridge,mo_prt_ans_brd_answer_text,,"1.Join part table with  policy table on policy_key, part_answer_bridge table on part_key and product_question table on product_question_key 2. Populate when question_text column from product_question table is 'Adaptations type'.",LSM,dim_adaptation,adaptation_type,varchar(16383),It refers to the specific type of adaptation made to accommodate a particular need or requirement for a vehicle.,,Yes,
v1.1,VEHICLE,ACTURIS-SDW,mo_sdw_part_answer_bridge,mo_prt_ans_brd_answer_text,,"1.Join part table with  policy table on policy_key, part_answer_bridge table on part_key and product_question table on product_question_key 2. Populate when question_text column from product_question table is 'Other adaptations type'.",LSM,dim_adaptation,other_adaptation_type,varchar(16383),Other adapatation which are not present in adaptation type against a vehicle if any.,,No,
v1.1,VEHICLE,ACTURIS-SDW,mo_sdw_part_answer_bridge,mo_prt_ans_brd_answer_text,,"1.Join part table with  policy table on policy_key, part_answer_bridge table on part_key and product_question table on product_question_key 2. Populate when question_text column from product_question table is 'Adaptation group ID'.",LSM,dim_adaptation,adaptation_group_id,varchar(16383),Group id against an adaptation of a vehicle.,,Yes,
v1.1,VEHICLE,ACTURIS-SDW,mo_sdw_part_answer_bridge,mo_prt_ans_brd_answer_text,,"1.Join part table with  policy table on policy_key, part_answer_bridge table on part_key and product_question table on product_question_key 2. Populate when question_text column from product_question table is 'Adaptation cost'.",LSM,dim_adaptation,adaptation_cost,"numeric(19,6)",Cost of an adaptation against a vehicle.,,Yes,
v1.1,VEHICLE,ACTURIS-SDW,mo_sdw_part_answer_bridge,mo_prt_ans_brd_answer_text,,"1.Join part table with  policy table on policy_key, part_answer_bridge table on part_key and product_question table on product_question_key 2. Populate when question_text column from product_question table is 'Installer details'.",LSM,dim_adaptation,installer_details,varchar,Who installed the adapatation on a vehicle.,,Yes,
v1.2,VEHICLE,ACTURIS-SDW,mo_sdw_part,mo_prt_original_policy_part_key,,Direct Mapping,LSM,dim_adaptation,adaptation_instance_id,numeric(10),Derived Column to find the instance against the adaptation.,,Yes,
v1.2,VEHICLE,ACTURIS-SDW,mo_sdw_part_answer_bridge,mo_prt_ans_brd_answer_text,,same as registration number  - registration number is unique,LSM,dim_adaptation,business_key,varchar,Technical column which has source business keys and it is unique for all the records.,,,
Version,Segment,Sysytem Source ,Source Object Name (Curated),Source Field Name,Source Field Data Type,Transformation Rule,Target System Name ,Target Object Name ,Target Field Name,Target Field Data Type,Target Field Description,Default Value in Target,Mandatory,Comment
v1.1,DRIVER,ACTURIS-SDW,,,,,LSM,dim_driver,driver_id,bigint,"Primary Key for dim_driver, this column contains unique autogenerated values.",,Yes,
v1.1,DRIVER,ACTURIS-SDW,mo_sdw_product_question_answer,mo_prd_ques_ans_description,,"1.Join part table with  policy table on policy_key, part_answer_bridge table on part_key,Join product_question_answer table on answer_keyand product_question table on product_question_key 2. Populate details from description column of product_question_answer table  when question_text column from product_question table is 'Previous conviction'.",LSM,dim_driver,previous_convictions_flag,varchar,It refer to past criminal offenses of the driver that could influence insurance coverage and premiums(if any).,,,
v1.1,DRIVER,ACTURIS-SDW,mo_sdw_product_question_answer,mo_prd_ques_ans_description,,"1.Join part table with  policy table on policy_key, part_answer_bridge table on part_key,left join product_question_answer table on answer_keyand product_question table on product_question_key 2. Populate details from description column of product_question_answer table  when question_text column from product_question table is  'Have you (or anyone on this policy) ever been refused insurance by Motability operations'.",LSM,dim_driver,refused_insurance_flag,varchar,whether a driver has been denied insurance coverage based on specific criteria or circumstances.,,,
v1.1,DRIVER,ACTURIS-SDW,mo_sdw_product_question_answer,mo_prd_ques_ans_description,,"1.Join part table with  policy table on policy_key, part_answer_bridge table on part_key,left join product_question_answer table on answer_keyand product_question table on product_question_key 2. Populate details from description column of product_question_answer table  when question_text column from product_question table is 'Do you have any restrictions on your licence'.",LSM,dim_driver,licence_restriction_flag,varchar,Whether there are specific restrictions or conditions attached to a driver's license that could affect their insurance coverage or premiums.,,,
